8681184		88		45056		0		1398403999.646690157		1398403999.652921876		1398403999.653009063		1398403999.653717136
8681280		56		28672		0		1398403999.651065782		1398403999.653122917		1398403999.654583907		1398403999.655160938
8681344		56		28672		0		1398403999.651102970		1398403999.654731980		1398403999.655271875		1398403999.655772188
8681408		88		45056		0		1398403999.651144324		1398403999.655383542		1398403999.655805417		1398403999.656554271
8681504		16		8192		0		1398403999.651162657		1398403999.655914375		1398403999.656590105		1398403999.656891459
8681520		40		20480		4		1398404001.072176302		1398404001.073244791		1398404001.076650885		1398404001.077252187
8681568		56		28672		0		1398404001.072230312		1398404001.076710833		1398404001.077289739		1398404001.077826979
8681632		88		45056		0		1398404001.072276927		1398404001.077400364		1398404001.078482500		1398404001.079122031
8681728		48		24576		0		1398404001.072307604		1398404001.078597813		1398404001.079155938		1398404001.079679010
8681776		8		4096		4		1398404001.084015937		1398404001.085248645		1398404001.085289635		1398404001.085557343
8681792		56		28672		0		1398404001.084077135		1398404001.085341406		1398404001.085866614		1398404001.086404322
8681856		88		45056		0		1398404001.084127083		1398404001.085947395		1398404001.086548750		1398404001.087185781
8681952		56		28672		0		1398404001.084165573		1398404001.086663802		1398404001.087222343		1398404001.087800261
8682016		16		8192		0		1398404001.084184218		1398404001.087357499		1398404001.087835990		1398404001.088145625
8682032		40		20480		4		1398404002.697434947		1398404002.697840990		1398404002.700361719		1398404002.700896041
8682080		88		45056		0		1398404002.697453697		1398404002.700387917		1398404002.700911875		1398404002.701491146
8682176		56		28672		0		1398404002.697465937		1398404002.700957396		1398404002.701505104		1398404002.701948593
8682240		56		28672		0		1398404002.697475676		1398404002.701571198		1398404002.702053802		1398404002.702527552
8682304		88		45056		0		1398404002.698343958		1398404002.702098958		1398404002.702567552		1398404002.703173698
8682400		56		28672		0		1398404002.698356667		1398404002.702610521		1398404002.703187916		1398404002.703636666
8682464		56		28672		0		1398404002.698367396		1398404002.703235364		1398404002.703651875		1398404002.704166770
8682528		16		8192		0		1398404002.698373229		1398404002.703695052		1398404002.704179114		1398404002.704430416
8682544		72		36864		4		1398404003.415500051		1398404003.416843228		1398404003.421377916		1398404003.422110468
8682624		56		28672		0		1398404003.415547604		1398404003.421437968		1398404003.422147760		1398404003.422645625
8682688		56		28672		0		1398404003.415579947		1398404003.422283750		1398404003.422678958		1398404003.423184322
8682752		48		24576		0		1398404003.415626249		1398404003.422790260		1398404003.423217083		1398404003.423702291
8682800		40		20480		4		1398404004.838663905		1398404004.839166822		1398404004.842549374		1398404004.843079738
8682848		56		28672		0		1398404004.838681509		1398404004.842567759		1398404004.843092811		1398404004.843549165
8682912		56		28672		0		1398404004.838691093		1398404004.843135415		1398404004.843560624		1398404004.843995207
8682976		88		45056		0		1398404004.838707187		1398404004.843601457		1398404004.844005936		1398404004.844632446
8683072		56		28672		0		1398404004.839824582		1398404004.844046249		1398404004.844644894		1398404004.845107290
8683136		56		28672		0		1398404004.839834009		1398404004.844689374		1398404004.845119113		1398404004.845549530
8683200		88		45056		0		1398404004.839848853		1398404004.845154894		1398404004.845561040		1398404004.846224321
8683296		16		8192		0		1398404004.839854322		1398404004.845596769		1398404004.846236300		1398404004.846489634
8683312		40		20480		4		1398404006.255506455		1398404006.255892600		1398404006.258410466		1398404006.258943070
8683360		56		28672		0		1398404006.255520517		1398404006.258436508		1398404006.258955310		1398404006.259411664
8683424		88		45056		0		1398404006.255535100		1398404006.258999372		1398404006.259422914		1398404006.260001143
8683520		56		28672		0		1398404006.255544736		1398404006.259463799		1398404006.260027653		1398404006.260487289
8683584		56		28672		0		1398404006.257239580		1398404006.260077393		1398404006.260498956		1398404006.260962237
8683648		152		77824		0		1398404006.257259944		1398404006.260539008		1398404006.260974424		1398404006.261876872
8683808		16		8192		0		1398404006.257264996		1398404006.261012549		1398404006.261892810		1398404006.262153070
8683824		40		20480		4		1398404006.865134425		1398404006.865494320		1398404006.868003852		1398404006.868534008
8683872		152		77824		0		1398404006.865162445		1398404006.868022342		1398404006.868547238		1398404006.869357915
8684032		48		24576		0		1398404006.865172758		1398404006.868585258		1398404006.869369477		1398404006.869800519
8684080		8		4096		4		1398404008.287322601		1398404008.288757863		1398404008.292149894		1398404008.292549893
8684096		152		77824		0		1398404008.287430831		1398404008.292209321		1398404008.292587550		1398404008.293539320
